"abundance","temperature","taxa"
"5532.89614305842","1","NZMS"
"5481.13782826033","1","NZMS"
"5376.51627990065","1","NZMS"
"5207.2105151665","1","NZMS"
"5036.54252962788","1","NZMS"
"4877.00263259313","1","NZMS"
"4916.5683714842","1","NZMS"
"4970.43286002268","1","NZMS"
"4960.65048438599","1","NZMS"
"4968.44251755646","1","NZMS"
"4982.21793555162","1","NZMS"
"5093.62572218583","1","NZMS"
"5086.35143441588","1","NZMS"
"5093.93987499968","1","NZMS"
"5141.72921347445","1","NZMS"
"5179.54500985257","1","NZMS"
"5239.75505417651","1","NZMS"
"5269.30990828941","1","NZMS"
"5284.64369659242","1","NZMS"
"5295.93424440733","1","NZMS"
"5340.97363632355","1","NZMS"
"5377.6679846558","1","NZMS"
"5393.92645715012","1","NZMS"
"5392.87464864373","1","NZMS"
"5431.85373895673","1","NZMS"
"5412.60667020787","1","NZMS"
"5356.94307162782","1","NZMS"
"5258.13335302887","1","NZMS"
"5144.24199232632","1","NZMS"
"5006.16599513589","1","NZMS"
"4860.09615891033","1","NZMS"
"4721.93531330933","1","NZMS"
"4800.42276134581","1","NZMS"
"4914.20404694344","1","NZMS"
"4956.95052322631","1","NZMS"
"4956.36758285594","1","NZMS"
"4990.83030658237","1","NZMS"
"4989.3793847679","1","NZMS"
"5044.73000143608","1","NZMS"
"5212.19653251365","1","NZMS"
"5144.06312774964","1","NZMS"
"5110.21054981274","1","NZMS"
"5185.42179060389","1","NZMS"
"5228.45375672172","1","NZMS"
"5323.30233185571","1","NZMS"
"5297.14559381137","1","NZMS"
"5306.31101537315","1","NZMS"
"5330.68441102217","1","NZMS"
"5384.33756152083","1","NZMS"
"5401.43419979476","1","NZMS"
"5415.85148777291","1","NZMS"
"5424.10766033064","1","NZMS"
"5362.73680007094","1","NZMS"
"5255.58912711344","1","NZMS"
"5136.81722857574","1","NZMS"
"5000.99621740727","1","NZMS"
"4855.45853217618","1","NZMS"
"4717.74912020961","1","NZMS"
"4799.91322944158","1","NZMS"
"8449.71172189654","1","NZMS"
"8293.00506867519","1","NZMS"
"8137.6469156182","1","NZMS"
"7981.36150079766","1","NZMS"
"7822.40231796139","1","NZMS"
"7656.33012933734","1","NZMS"
"7481.82618064284","1","NZMS"
"7296.73041687466","1","NZMS"
"7099.61872460044","1","NZMS"
"6893.63567865435","1","NZMS"
"6678.2123646068","1","NZMS"
"6451.89086262913","1","NZMS"
"6217.07242530079","1","NZMS"
"5974.72294381578","1","NZMS"
"5727.27833034587","1","NZMS"
"5478.91843226708","1","NZMS"
"5233.49310346112","1","NZMS"
"4992.18677612905","1","NZMS"
"5002.67960214557","1","NZMS"
"5540.99413593901","1","NZMS"
"5490.78276626242","1","NZMS"
"5376.97807412877","1","NZMS"
"5208.1932302303","1","NZMS"
"5037.47992814199","1","NZMS"
"4877.89658807847","1","NZMS"
"4915.54329087099","1","NZMS"
"4972.26815510012","1","NZMS"
"4962.32232031499","1","NZMS"
"4967.56844095131","1","NZMS"
"4982.39352126311","1","NZMS"
"5085.20282896566","1","NZMS"
"5090.96310029343","1","NZMS"
"5100.19444742149","1","NZMS"
"5153.29577614033","1","NZMS"
"5172.4855083008","1","NZMS"
"5241.54700922744","1","NZMS"
